IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;
Cloud Services;Analytics;Azure Data Factory;Data Transfer;Cloud Data Movement;Azure Data Factory v2;;Cloud Data Movement;Microsoft.DataFactory;
Cloud Services;Analytics;Azure Data Factory;Orchestration;Activity Run;Azure Data Factory v2;;Cloud Orchestration Activity Run;Microsoft.DataFactory;
Cloud Services;Analytics;Azure Data Factory;Activity Execution;External IR Activity;Azure Data Factory v2;;Cloud Pipeline Activity External IR;Microsoft.DataFactory;
Cloud Services;Analytics;Azure Data Factory;Activity Execution;IR Activity;Azure Data Factory v2;;Cloud Pipeline Activity IR;Microsoft.DataFactory;
Cloud Services;Analytics;Azure Data Factory;Operations;Monitoring Operations;Azure Data Factory v2;;Monitoring Operations;Microsoft.DataFactory;
Cloud Services;Analytics;Azure Data Factory;Operations;Read Write Operations;Azure Data Factory v2;;Read Write Operations;Microsoft.DataFactory;
Cloud Services;Developer Tools;Application Insights;Monitoring;Usage;Visual Studio;Application Insights;;microsoft.insights;
Cloud Services;Developer Tools;Visual Studio;User License;Users;Visual Studio;Team Services;Users;;
Cloud Services;Developer Tools;Visual Studio;Build Agents;Private Agents;Visual Studio;Build and Deployment;Private Agents;;
Cloud Services;Developer Tools;Visual Studio;Build Agents;Hosted Agents;Visual Studio;Build and Deployment;Hosted Agents;;
Cloud Services;Web & Mobile;Azure App Service;App Instance;Free Web Sites;Websites;Web Sites;Free Web Sites;Microsoft.Web;
Cloud Services;Web & Mobile;Azure App Service;App Instance;Compute Hours;Websites;;%Hours;Microsoft.Web;
Cloud Services;Web & Mobile;Azure App Service;Security;IP SSL;Websites;Web Sites;IP SSL;Microsoft.Web;
Compute;Compute Instances;Virtual Machines;Software License;License Cost;Virtual Machines Licenses;;;;
Compute;Compute Instances;Virtual Machines;Software License;Compute Hours;Virtual Machines;Red Hat Enterprise Linux%;Compute Hours;%Compute;
Compute;Compute Instances;Virtual Machines;Software License;Compute Hours;Virtual Machines;SQL Server%;Compute Hours;;
Compute;Compute Instances;Virtual Machines;Software License;Compute Hours;Virtual Machines;BizTalk Server;Compute Hours;%Compute;
Compute;Compute Instances;Virtual Machines;Software License;Compute Hours;Virtual Machines;BizTalk Server Standard%;Compute Hours;%Compute;
Compute;Compute Instances;Virtual Machines;Software License;Compute Hours;Virtual Machines;Java Development Environment%;Compute Hours;Unassigned;
Compute;Compute Instances;Virtual Machines;Reserved Instances;Compute Hours;Virtual Machines;Reservation%;Compute Hours;%Compute;
Database;Database;Azure SQL Data Warehouse;Storage;Data Stored;SQL Data Warehouse;%Storage;;Microsoft.Sql;
Database;Database;Azure SQL Database;Instances;Database Units;SQL Database;;Database Units%;Database;
Database;Database;Azure SQL Database;Storage;Data Stored;SQL Database;LTR Backup Storage;Data Stored;;
Database;Database;Azure SQL Database;Instances;Managed Instance;SQL Database;Managed Instance%;;Microsoft.Sql;
Database;Database;Azure SQL Database;Instances;vCore;SQL Database;Single/Elastic Pool%;vCore;Microsoft.Sql;
Database;Database;Azure SQL Database;Instances;eDTUs;SQL Database;Elastic Pool%;eDTUs;Microsoft.Sql;
Database;Database;Azure SQL Database;Instances;vCore;SQL Database;SingleDB Hyperscale%;vCore;Microsoft.Sql;
Database;Database;Azure SQL Database;Instances;DTUs;SQL Database;Single%;%DTUs;Microsoft.Sql;
Database;Database;Azure SQL Database;Reserved Instances;Usage;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIBC%G5%
Database;Database;Azure SQL Database;Reserved Instances;Usage;SQL Database;Compute Reservation;Usage;Microsoft.Sql;%SLO_: _MIGP%G5%
Database;Database;Azure SQL Database;Instances;SQL General Usage;SQL Database;;;Microsoft.Sql;
Storage;Storage&Content Delivery;Azure Backup;Storage;Backup Storage;Storage;;;microsoft._ackup;
Storage;Storage&Content Delivery;Azure Recovery Services;Storage;Recovery Storage;Storage;;;Microsoft.RecoveryServices;
Storage;Storage&Content Delivery;Azure Storage;Storage;SQL Storage;Storage;;;Microsoft.Sql;
Storage;Storage&Content Delivery;Azure Storage;Storage;Standard Storage;Storage;;;%_torage%;
Storage;Storage&Content Delivery;Azure Storage;Storage;VM Disk Storage;Storage;;;Microsoft.Compute;
Storage;Storage&Content Delivery;Azure Storage;Storage;ML Model Storage;Storage;;;Microsoft.MachineLearningServices;
Storage;Storage&Content Delivery;Azure Storage;Storage;Batch Storage;Storage;;;Microsoft.Batch;
